,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
slope,342.7384010795013,0.8914799956847048,0.004188768064667595,341.00242000635774,344.48082686642294,37039.35461635162,0.9999600629846523
slope_fp__0,341.3674541050867,0.06905335970649004,0.00035978148034860734,341.23542450836675,341.5031385176112,35952.782666013496,1.0000115489421748
slope_fp__1,340.5876282712832,0.06987590927360633,0.0003436905898838985,340.45135177976266,340.72542702082825,36248.33755240903,0.9999918141720069
slope_fp__2,342.7719638810151,0.1848468868749451,0.0015041121228304114,342.4409322882957,343.1496789841413,15729.954707484336,0.9999573473775505
slope_fp__3,345.6460524431895,0.2152663502067884,0.004525495614660372,345.1841350561646,346.0468818762208,2507.2060197423707,1.0006596025473689
intercept,9.863060073553737e-05,7.764242761473381e-05,4.437733004190622e-07,-5.6420717885382025e-05,0.0002479359790600569,30054.197660935475,0.9999738010541824
residual,0.0011223734122309825,0.00013350725444037588,8.209969513519145e-07,0.000872706641682904,0.001394410403631581,25550.08000222816,0.9999970204084525
dof,0.7454975229458333,0.06778535530421481,0.0004231567820584599,0.619874612771424,0.8844704647976988,27803.357998860898,0.9999837773266687
